################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  7.0534735328419793E-02 a       117     0     6     1    17
 -3.1860049254075895E-01 a       118     0     6     1    18
  1.4199183009455446E-01 a       119     0     6     1    19
  2.7687589340705304E-01 a       120     0     6     1    20
 -1.5581692086329010E-01 a       121     0     7     1     1
 -3.4566655699245080E-02 a       122     0     7     1     2
  2.0255469200888723E-01 a       123     0     7     1     3
 -1.1046031024895789E-01 a       124     0     7     1     4
  1.0013177912464413E-01 a       125     0     7     1     5
  1.6310688240637128E-01 a       126     0     7     1     6
  3.8383455958918108E-02 a       127     0     7     1     7
  1.7400650102100915E-01 a       128     0     7     1     8
  6.9125384737059273E-02 a       129     0     7     1     9
 -5.8164688118741661E-02 a       130     0     7     1    10
  2.3103164031204274E-01 a       131     0     7     1    11
  3.6554498293097752E-02 a       132     0     7     1    12
 -1.6685285623008267E-01 a       133     0     7     1    13
  4.4432465733773635E-01 a       134     0     7     1    14
  1.1876735673631870E-01 a       135     0     7     1    15
  1.5709050117847487E-01 a       136     0     7     1    16
 -3.1380037317040466E-01 a       137     0     7     1    17
  2.2012766068415804E-01 a       138     0     7     1    18
 -1.3464506740500407E-02 a       139     0     7     1    19
  1.0821320522666682E-01 a       140     0     7     1    20
  2.0073204890872051E-01 a       141     0     8     1     1
  1.0228133012466080E-01 a       142     0     8     1     2
 -1.9248665392961942E-01 a       143     0     8     1     3
 -1.7100401411906552E-01 a       144     0     8     1     4
 -1.4196783264942167E-01 a       145     0     8     1     5
  1.9893485315618409E-01 a       146     0     8     1     6
 -1.4056154207484928E-01 a       147     0     8     1     7
  2.8883072165525044E-02 a       148     0     8     1     8
 -5.8819978768792934E-02 a       149     0     8     1     9
  2.0139367980220360E-01 a       150     0     8     1    10
 -4.3651881039766367E-02 a       151     0     8     1    11
 -1.3694255169168931E-01 a       152     0     8     1    12
 -1.8464946832837875E-01 a       153     0     8     1    13
  4.2877372259718693E-01 a       154     0     8     1    14
 -2.5125541586911682E-01 a       155     0     8     1    15
  2.5583743837402473E-01 a       156     0     8     1    16
  1.6288775537914049E-01 a       157     0     8     1    17
  1.2214076299096500E-01 a       158     0     8     1    18
  2.2628673938457131E-01 a       159     0     8     1    19
  1.0706647051795130E-01 a       160     0     8     1    20
  2.2972721536474019E-01 a       161     0     9     1     1
  2.9261971372746914E-01 a       162     0     9     1     2
 -1.2562079382598745E-01 a       163     0     9     1     3
 -9.3559059603125300E-02 a       164     0     9     1     4
 -2.1099655813979468E-01 a       165     0     9     1     5
 -6.1451055580871022E-02 a       166     0     9     1     6
 -3.9164386131959344E-01 a       167     0     9     1     7
 -3.6934412171021683E-02 a       168     0     9     1     8
  2.0630955575453253E-01 a       169     0     9     1     9
  9.9768195659476297E-02 a       170     0     9     1    10
 -1.3492024604095068E-01 a       171     0     9     1    11
 -9.3546195729366732E-02 a       172     0     9     1    12
 -2.0230401431511136E-01 a       173     0     9     1    13
  6.3753952766287325E-01 a       174     0     9     1    14
 -7.5113041270973117E-03 a       175     0     9     1    15
  2.6161342678633409E-01 a       176     0     9     1    16
  3.4386312957037882E-02 a       177     0     9     1    17
  5.4209982178923029E-03 a       178     0     9     1    18
  8.8667776081189004E-02 a       179     0     9     1    19
  8.1405896662006816E-02 a       180     0     9     1    20
 -2.6065137076655487E-01 a       181     0    10     1     1
  9.4822228082639196E-03 a       182     0    10     1     2
 -4.5739416864920189E-02 a       183     0    10     1     3
  2.4222172360007577E-01 a       184     0    10     1     4
  3.3969088713397634E-02 a       185     0    10     1     5
  1.5172976293348733E-01 a       186     0    10     1     6
  8.4564192351981871E-02 a       187     0    10     1     7
  2.0069965056381195E-01 a       188     0    10     1     8
 -1.1877610146358684E-01 a       189     0    10     1     9
  4.2670919718185076E-02 a       190     0    10     1    10
  1.6092067811465469E-01 a       191     0    10     1    11
 -2.7538546821507504E-01 a       192     0    10     1    12
  9.1188423338690081E-02 a       193     0    10     1    13
 -1.2086285025418822E-02 a       194     0    10     1    14
 -1.9513672037014851E-01 a       195     0    10     1    15
  8.9152842650229228E-02 a       196     0    10     1    16
  4.6230557433971642E-02 a       197     0    10     1    17
