################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1         19   0.0000000000000000E+00   2.1172006401986381E+00   6.0470670498628594E-02   1.4750790741744513E-01
         1         20   0.0000000000000000E+00   5.3582647437977282E-01   1.6132626234460282E-02   3.9865742980999930E-02
         1         21   0.0000000000000000E+00   1.1497294944765486E+00   3.3100037361713325E-02   8.2176028313209221E-02
         1         22   0.0000000000000000E+00   3.5956479057057489E-01   9.4831022558776439E-03   2.5595404555122492E-02
         1         23   0.0000000000000000E+00   7.2024860525222190E-01   1.7512273563579515E-02   4.5072139407038220E-02
         1         24   0.0000000000000000E+00   1.0868030975927152E-01   7.1537854104579564E-04   2.7572736100247423E-03
         1         25   0.0000000000000000E+00   1.7217219904220886E+00   4.6999937356935459E-02   1.1781964597441558E-01
         1         26   0.0000000000000000E+00   4.3235690942773586E-01   1.2211649525278074E-02   3.1227444574566710E-02
         1         27   0.0000000000000000E+00   4.8933626838679189E-02   7.9400987030186197E-04   2.4406746240943212E-03
         1         28   0.0000000000000000E+00   3.5124511878777860E-02   4.9649140817244241E-04   1.6534585649189983E-03
         1         29   0.0000000000000000E+00   4.7212251907696573E-01   1.0434685405301273E-02   2.8500398266254581E-02
         1         30   0.0000000000000000E+00   1.2580388647545668E-01   2.9396449662223551E-03   8.1129637510633998E-03
         1         31   0.0000000000000000E+00   7.2719376517897130E-02   3.8950619639557349E-04   1.6268106574100910E-03
         1         32   0.0000000000000000E+00   1.1349065322379412E+00   2.8098311097534155E-02   7.4721285070862717E-02
         1         33   0.0000000000000000E+00   2.7930354341459090E-01   6.9016046846647455E-03   1.8976498449490665E-02
         1         34   0.0000000000000000E+00   1.1609980822942377E-01   1.0933076172395164E-03   4.2642602164417566E-03
         1         35   0.0000000000000000E+00   9.8166508785823239E-02   1.6729066624693817E-03   5.1861380888663681E-03
         1         36   0.0000000000000000E+00   3.1909520487773971E-02   4.3989561660614666E-04   1.4514621121354085E-03
         1         37   0.0000000000000000E+00   6.0928294952795603E-01   1.5244059432424743E-02   4.1168129275914872E-02
