################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.0984420041647656E-01 a         1     0     1     1     1
 -4.5730255563055648E-02 a         2     0     1     1     2
 -2.2339638339432433E-01 a         3     0     1     1     3
  5.6561505976979831E-01 a         4     0     1     1     4
  1.5258259192998089E-01 a         5     0     1     1     5
  3.4813495349625107E-01 a         6     0     1     1     6
  1.3400190125745834E-01 a         7     0     1     1     7
  7.6258490968434089E-01 a         8     0     1     1     8
  7.3160943567632719E-01 a         9     0     1     1     9
 -2.2073917972773102E-01 a        10     0     1     1    10
 -5.8758223575128654E-01 a        11     0     1     1    11
 -3.9676726534853102E-02 a        12     0     1     1    12
 -2.7324401646716145E-01 a        13     0     1     1    13
  2.1441487582321642E-01 a        14     0     1     1    14
 -5.7993387635877425E-01 a        15     0     1     1    15
  2.6432010632736563E-01 a        16     0     1     1    16
  2.7334324465393248E-02 a        17     0     1     1    17
  6.2828066179869801E-01 a        18     0     1     1    18
 -1.1805609660314127E-01 a        19     0     1     1    19
 -2.2617615210761158E-01 a        20     0     1     1    20
 -4.0952698414114454E-02 a        21     0     2     1     1
  4.6921123117232810E-01 a        22     0     2     1     2
  5.1812261942603111E-01 a        23     0     2     1     3
  5.1058415935875412E-01 a        24     0     2     1     4
  1.7978712748581710E-01 a        25     0     2     1     5
 -5.6665592246950491E-01 a        26     0     2     1     6
  7.3556086901270116E-03 a        27     0     2     1     7
 -2.8405107654629524E-01 a        28     0     2     1     8
  6.3732583430601264E-01 a        29     0     2     1     9
  1.1517022673849482E+00 a        30     0     2     1    10
  2.2272977978679878E-01 a        31     0     2     1    11
  6.1008457519689452E-01 a        32     0     2     1    12
 -1.9853253299781973E-01 a        33     0     2     1    13
 -1.5179711046175615E-01 a        34     0     2     1    14
 -6.6629087066150547E-02 a        35     0     2     1    15
  1.2728618948653248E+00 a        36     0     2     1    16
 -3.4365693148695703E-01 a        37     0     2     1    17
 -8.7938798804158824E-01 a        38     0     2     1    18
 -5.2377618287941197E-01 a        39     0     2     1    19
  3.4575508079339273E-01 a        40     0     2     1    20
 -3.3293183630392265E-01 a        41     0     3     1     1
  7.3822606259310003E-02 a        42     0     3     1     2
 -4.3453780051850494E-01 a        43     0     3     1     3
 -1.1787987547319764E-01 a        44     0     3     1     4
