################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.5653554817914406E-01 a         1     0     1     1     1
  2.8504108526201161E-01 a         2     0     1     1     2
 -2.2690684361088831E-01 a         3     0     1     1     3
  2.1256167715111551E-01 a         4     0     1     1     4
 -4.5014187340996931E-01 a         5     0     1     1     5
  1.6062831886403511E-01 a         6     0     1     1     6
  3.8373131556236756E-02 a         7     0     1     1     7
 -2.2625457513217290E-01 a         8     0     1     1     8
  1.6775900460365092E-01 a         9     0     1     1     9
  1.3524300525076360E-01 a        10     0     1     1    10
  1.8309426697548280E-02 a        11     0     1     1    11
  4.3038654832228301E-01 a        12     0     1     1    12
 -4.4542329035089212E-01 a        13     0     1     1    13
 -7.3073308060996364E-02 a        14     0     1     1    14
  1.6832428166882465E-01 a        15     0     1     1    15
 -1.3018026951498701E-01 a        16     0     1     1    16
 -5.9221486138523148E-02 a        17     0     1     1    17
  4.3884479666606240E-02 a        18     0     1     1    18
  4.9154608484694939E-01 a        19     0     1     1    19
  3.4812228950627921E-01 a        20     0     1     1    20
  6.9304952259179292E-02 a        21     0     2     1     1
 -1.7957585639458207E-01 a        22     0     2     1     2
  1.4205317935876230E-01 a        23     0     2     1     3
 -1.8292548469884226E-01 a        24     0     2     1     4
 -4.9708436432612640E-01 a        25     0     2     1     5
  2.5205729916937325E-01 a        26     0     2     1     6
 -3.5982086003631603E-01 a        27     0     2     1     7
 -6.6113204959480809E-02 a        28     0     2     1     8
  9.4763492893242582E-02 a        29     0     2     1     9
 -1.1387344229828117E-01 a        30     0     2     1    10
  2.0623369828904767E-01 a        31     0     2     1    11
  1.0993516214354179E-01 a        32     0     2     1    12
 -7.2480459171930411E-02 a        33     0     2     1    13
  1.5310762500285763E-01 a        34     0     2     1    14
  9.1375606649610072E-02 a        35     0     2     1    15
  7.9023735969569284E-02 a        36     0     2     1    16
 -7.3096988192571113E-02 a        37     0     2     1    17
 -1.4069264172232968E-01 a        38     0     2     1    18
  2.1963390020903606E-01 a        39     0     2     1    19
 -1.5536516239185177E-01 a        40     0     2     1    20
  1.8450046881742291E-01 a        41     0     3     1     1
  3.7896161209952728E-01 a        42     0     3     1     2
  2.0757224785799971E-02 a        43     0     3     1     3
 -2.2900460446886511E-02 a        44     0     3     1     4
  1.5054667826157092E-01 a        45     0     3     1     5
  4.0548215338238275E-01 a        46     0     3     1     6
  4.6378318651080896E-01 a        47     0     3     1     7
 -8.2489676252515368E-02 a        48     0     3     1     8
  1.0007745160238452E-01 a        49     0     3     1     9
  2.2283202511093789E-01 a        50     0     3     1    10
 -2.6541953886872967E-02 a        51     0     3     1    11
  4.3261192440931312E-01 a        52     0     3     1    12
 -3.9351805394405159E-01 a        53     0     3     1    13
  1.8793317512158882E-02 a        54     0     3     1    14
  2.3100659464976087E-01 a        55     0     3     1    15
 -1.5953838116282529E-01 a        56     0     3     1    16
  2.2880639525833155E-01 a        57     0     3     1    17
 -1.2902828515211937E-01 a        58     0     3     1    18
  1.8721748724616838E-01 a        59     0     3     1    19
  3.2131491686467850E-01 a        60     0     3     1    20
  2.4628776463456079E-01 a        61     0     4     1     1
 -8.4450392091726334E-02 a        62     0     4     1     2
  1.3293121093801735E-01 a        63     0     4     1     3
 -1.7115494422701699E-01 a        64     0     4     1     4
 -4.1306717386261876E-01 a        65     0     4     1     5
  4.2241648583457636E-01 a        66     0     4     1     6
 -3.2065675360741747E-01 a        67     0     4     1     7
  5.7511369324499274E-02 a        68     0     4     1     8
 -7.3270298771157760E-02 a        69     0     4     1     9
 -1.2182669071554501E-01 a        70     0     4     1    10
  1.5739881457233382E-01 a        71     0     4     1    11
  6.5759782078706003E-02 a        72     0     4     1    12
 -4.2610619876035150E-02 a        73     0     4     1    13
 -2.6831619948602035E-02 a        74     0     4     1    14
  3.0343564867569780E-02 a        75     0     4     1    15
 -4.7901589052385235E-01 a        76     0     4     1    16
 -1.9525033250620968E-01 a        77     0     4     1    17
 -1.4908295911434005E-01 a        78     0     4     1    18
 -1.8146100879850705E-01 a        79     0     4     1    19
