################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   2.3270324760114119E-02   1.9187491734593610E+01   6.0137941325343212E+00   2.8107285253515504E+00
         1          2   1.8040533210676220E-02   1.8182434971537177E+01   5.6665326499638144E+00   2.6576754457393794E+00
         1          3   1.6854090173579367E-01   2.6406404689294185E+01   8.9447967736735645E+00   4.0959216074503715E+00
         1          4   1.3430213931673537E-01   2.5239553566371640E+01   8.4262618205139415E+00   3.8621942577705135E+00
         1          5   7.9841532121997863E-03   1.4636574382720713E+01   4.5229865705180012E+00   2.1543914287696402E+00
         1          6   0.0000000000000000E+00   3.2253109634317960E+00   4.1053934106204215E-01   4.1243989559640559E-01
         1          7   0.0000000000000000E+00   6.9503136684122646E+00   1.0688830690398341E+00   9.0758386376296107E-01
         1          8   0.0000000000000000E+00   2.1030681131016031E+00   3.2671814832434859E-01   2.9229419286482888E-01
         1          9   0.0000000000000000E+00   3.6065805854196004E-01   2.9056140151752039E-02   3.8668297762852771E-02
         1         10   0.0000000000000000E+00   1.9111180723554375E-01   1.8004575166010183E-02   2.3816736163891059E-02
         1         11   0.0000000000000000E+00   1.2952324844848988E+00   2.2105069757598872E-01   1.6613997921462900E-01
         1         12   0.0000000000000000E+00   3.1985173591835321E+00   4.0682236254653265E-01   4.0873723022714686E-01
         1         13   0.0000000000000000E+00   6.8817591942122256E+00   1.0592512186288185E+00   8.9961552219615959E-01
         1         14   0.0000000000000000E+00   2.0813520742939358E+00   3.2352286054551144E-01   2.8965349006544416E-01
         1         15   0.0000000000000000E+00   3.5768954695827621E-01   2.8768902934777251E-02   3.8300999345434614E-02
         1         16   0.0000000000000000E+00   3.8490512786740272E+00   6.1099411492151612E-01   4.9233796162080923E-01
         1         17   0.0000000000000000E+00   9.3436991040995043E-01   1.3115834676422908E-01   1.4118782921476306E-01
         1         18   0.0000000000000000E+00   2.8019104211809873E+00   3.5237420674862729E-01   3.5448726038031736E-01
         1         19   0.0000000000000000E+00   5.8817302291130691E+00   9.1814011552822394E-01   7.8272425169402038E-01
         1         20   0.0000000000000000E+00   1.7663478160550798E+00   2.7695516921484475E-01   2.5096598101119616E-01
         1         21   0.0000000000000000E+00   3.2993280303195944E+00   5.2910406278958722E-01   4.2813469775208512E-01
         1         22   0.0000000000000000E+00   1.0971381564547600E+00   1.8867861384297246E-01   1.4239137733985430E-01
         1         23   0.0000000000000000E+00   2.3732634486672035E+00   2.9476395524307658E-01   2.9706024449190815E-01
         1         24   0.0000000000000000E+00   5.5790931180231562E-01   1.9002266618700549E-02   3.7055308165324055E-02
         1         25   0.0000000000000000E+00   4.8372261093684141E+00   7.6877951070843431E-01   6.5863152459753971E-01
         1         26   0.0000000000000000E+00   1.4401517761482878E+00   2.2823191708455998E-01   2.1001127315536677E-01
         1         27   0.0000000000000000E+00   2.6667966306555185E-01   2.0179809133683158E-02   2.7277317138241330E-02
         1         28   0.0000000000000000E+00   1.3843885936697414E-01   1.2770132536217985E-02   1.6990482842643095E-02
         1         29   0.0000000000000000E+00   1.6880649495529005E+00   2.0547285969646861E-01   2.0798125477834736E-01
         1         30   0.0000000000000000E+00   5.2226204541648025E-01   6.7207641312266433E-02   7.5059050170195471E-02
         1         31   0.0000000000000000E+00   3.5489919583789348E-01   1.2498724790574100E-02   2.4775301472112213E-02
         1         32   0.0000000000000000E+00   3.5152936405740487E+00   5.3708847579936081E-01   4.6509138212087575E-01
         1         33   0.0000000000000000E+00   1.0319234101712660E+00   1.5414233011613013E-01   1.4645087451978248E-01
         1         34   0.0000000000000000E+00   9.2888867082029403E-01   3.8521660484434485E-02   6.4670838462085559E-02
         1         35   0.0000000000000000E+00   4.0571547251563328E-01   4.2336690585549216E-02   4.9917332312704406E-02
         1         36   0.0000000000000000E+00   1.9175772417784995E-01   1.3485494658616880E-02   1.8603518709284582E-02
         1         37   0.0000000000000000E+00   1.8407348283414218E+00   3.0806533805581143E-01   2.5362535038182088E-01
         1         38   0.0000000000000000E+00   5.1648011787868287E-01   8.0375488976964421E-02   7.3465456905261683E-02
         1         39   0.0000000000000000E+00   1.0060788020260927E-01   8.7314186352361826E-03   1.1751015347350229E-02
         1         40   0.0000000000000000E+00   6.0902739398930428E-01   1.0741225323494330E-01   8.2427302936124977E-02
         1         41   0.0000000000000000E+00   8.6575684529593633E-01   1.0312852247495367E-01   1.0567290260180423E-01
         1         42   0.0000000000000000E+00   2.7915714138551034E-01   3.1933183812844594E-02   3.7353193958896740E-02
         1         43   0.0000000000000000E+00   1.7611909425127620E-01   5.5587917074711784E-03   1.1459570878795606E-02
         1         44   0.0000000000000000E+00   1.9415822687848154E+00   2.7091071415954748E-01   2.4011114315478460E-01
         1         45   0.0000000000000000E+00   2.1693199524766538E-01   2.0571496979898695E-02   2.4515888295294358E-02
         1         46   0.0000000000000000E+00   1.0245617009862817E-01   6.1486001090010354E-03   8.9165180094337784E-03
         1         47   0.0000000000000000E+00   2.8547477178815128E-01   3.6912602090051004E-02   3.6179277906829774E-02
         1         48   0.0000000000000000E+00   3.1096005332542070E-01   5.1853026619990125E-02   4.0854760867329282E-02
         1         49   0.0000000000000000E+00   2.9502721077481903E-01   3.0503049722740809E-02   3.2519767202455620E-02
         1         50   0.0000000000000000E+00   9.4933264048453217E-02   8.4352459623588619E-03   1.0884634145365703E-02
         1         51   0.0000000000000000E+00   1.8969467883325036E-01   1.8770154829555488E-02   2.1405641581257930E-02
         1         52   0.0000000000000000E+00   7.2281110912029864E-02   5.6272213255640722E-03   7.0694786068800936E-03
         1         53   0.0000000000000000E+00   9.5276132126550755E-02   9.1180341735922973E-03   1.0175099604257064E-02
         1         54   0.0000000000000000E+00   1.0210722482799964E-01   1.4097038316386349E-02   1.1838733670725587E-02
         1         55   0.0000000000000000E+00   6.6152419983336166E-02   4.0947151331125527E-03   4.9681563196000509E-03
