################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.1529497420598562E+00 a       117     0     6     1    17
 -1.1537575744331034E-01 a       118     0     6     1    18
  9.7538315135392051E-01 a       119     0     6     1    19
 -3.0367527834733182E-01 a       120     0     6     1    20
 -2.0847344902732931E-01 a       121     0     7     1     1
 -2.4302687007879370E-01 a       122     0     7     1     2
 -1.4347359998232787E-01 a       123     0     7     1     3
 -7.7073254294570137E-01 a       124     0     7     1     4
 -1.5141791775029953E-01 a       125     0     7     1     5
 -6.9549397712882055E-01 a       126     0     7     1     6
  9.8036021294035391E-01 a       127     0     7     1     7
  9.4218369932842627E-01 a       128     0     7     1     8
  5.3763804147443461E-01 a       129     0     7     1     9
  3.9005193063213600E-01 a       130     0     7     1    10
  1.8651427319021707E-01 a       131     0     7     1    11
  1.1000719063153670E+00 a       132     0     7     1    12
 -1.6703832978245109E-01 a       133     0     7     1    13
  4.6586876912729486E-01 a       134     0     7     1    14
  3.2162873468785541E-01 a       135     0     7     1    15
  1.1229921062717547E+00 a       136     0     7     1    16
 -8.5424456088450851E-01 a       137     0     7     1    17
  5.8364279999065760E-01 a       138     0     7     1    18
  7.3341962466196353E-01 a       139     0     7     1    19
  6.8410942539106345E-01 a       140     0     7     1    20
 -8.5754441850860774E-01 a       141     0     8     1     1
 -4.0141374700514199E-01 a       142     0     8     1     2
  3.1905880635585826E-01 a       143     0     8     1     3
 -1.4281503977380983E+00 a       144     0     8     1     4
 -2.9409436540529621E-01 a       145     0     8     1     5
 -1.1846245499544206E-01 a       146     0     8     1     6
  9.6391946729244438E-01 a       147     0     8     1     7
  1.1190197737926610E+00 a       148     0     8     1     8
 -5.1749289633958262E-01 a       149     0     8     1     9
  1.0350098456222845E+00 a       150     0     8     1    10
 -1.1158215750550597E+00 a       151     0     8     1    11
  7.0924305595076453E-01 a       152     0     8     1    12
 -8.6619235956351437E-01 a       153     0     8     1    13
 -4.2413087698516866E-01 a       154     0     8     1    14
 -8.5434807613257591E-01 a       155     0     8     1    15
  3.8462822269184571E-01 a       156     0     8     1    16
  4.5303073596130621E-04 a       157     0     8     1    17
 -2.6048653457924853E-01 a       158     0     8     1    18
  6.0340627886637577E-01 a       159     0     8     1    19
  4.2636869758230073E-01 a       160     0     8     1    20
 -7.3220016205214411E-01 a       161     0     9     1     1
  3.2045520006243550E-01 a       162     0     9     1     2
 -9.9152652727318846E-01 a       163     0     9     1     3
 -2.6892522642759070E-01 a       164     0     9     1     4
 -4.0035985274969782E-01 a       165     0     9     1     5
 -1.6503248522534519E-01 a       166     0     9     1     6
  5.2641752080444804E-01 a       167     0     9     1     7
  1.5330862066419687E-01 a       168     0     9     1     8
  4.0927986636413161E-01 a       169     0     9     1     9
 -6.7717542324547200E-02 a       170     0     9     1    10
  5.1109034659680599E-02 a       171     0     9     1    11
  1.8337855827937538E-02 a       172     0     9     1    12
  2.3540804420418622E-02 a       173     0     9     1    13
  3.1639677114235187E-01 a       174     0     9     1    14
  2.5782030118979399E-01 a       175     0     9     1    15
 -2.3656748648148559E-01 a       176     0     9     1    16
  3.8181177504254737E-01 a       177     0     9     1    17
 -2.9865975426427799E-01 a       178     0     9     1    18
 -2.6462918529306478E-01 a       179     0     9     1    19
  8.1001150516378739E-01 a       180     0     9     1    20
 -1.1796392850603132E+00 a       181     0    10     1     1
 -1.4273500891141679E-02 a       182     0    10     1     2
 -5.2845146665386900E-01 a       183     0    10     1     3
  2.2728593926628610E-01 a       184     0    10     1     4
  1.0790699908373740E-01 a       185     0    10     1     5
  3.7781992297129319E-01 a       186     0    10     1     6
 -3.4262228903125297E-01 a       187     0    10     1     7
  7.0712703245037933E-01 a       188     0    10     1     8
 -5.1947888685904242E-01 a       189     0    10     1     9
  8.8137301991401129E-01 a       190     0    10     1    10
 -8.0057188975596882E-01 a       191     0    10     1    11
  4.3457317495564536E-02 a       192     0    10     1    12
 -1.3279915107428362E+00 a       193     0    10     1    13
  7.4397837156632074E-01 a       194     0    10     1    14
  6.5415687418657231E-01 a       195     0    10     1    15
 -2.4858760994629438E-02 a       196     0    10     1    16
  2.3617335422527097E-01 a       197     0    10     1    17
 -2.2843216472384623E-01 a       198     0    10     1    18
 -7.6162386518126279E-01 a       199     0    10     1    19
  9.3149542482260850E-01 a       200     0    10     1    20
  1.7681368501733928E-02 a       201     0    11     1     1
 -9.4479784090935645E-02 a       202     0    11     1     2
 -2.1169318558571437E-01 a       203     0    11     1     3
 -7.1220510058183151E-01 a       204     0    11     1     4
 -4.2369458563274442E-01 a       205     0    11     1     5
 -8.9103130198645208E-01 a       206     0    11     1     6
  7.0040324029968504E-01 a       207     0    11     1     7
  5.6722133223891047E-01 a       208     0    11     1     8
  6.7049733703137115E-01 a       209     0    11     1     9
  3.7289680765185912E-01 a       210     0    11     1    10
  2.6832206735356678E-01 a       211     0    11     1    11
  9.1629676190721476E-01 a       212     0    11     1    12
  1.7814393273520826E-01 a       213     0    11     1    13
  5.3431666521215204E-01 a       214     0    11     1    14
 -4.8238357311008603E-02 a       215     0    11     1    15
  1.1634128163851813E+00 a       216     0    11     1    16
 -6.2095961306704450E-01 a       217     0    11     1    17
  4.0639330669982582E-01 a       218     0    11     1    18
  7.3290357863469169E-01 a       219     0    11     1    19
  6.2513854993469509E-01 a       220     0    11     1    20
 -8.3404697541321482E-01 a       221     0    12     1     1
  7.4921595386712059E-02 a       222     0    12     1     2
 -5.9131316782984866E-01 a       223     0    12     1     3
 -3.6219175423874200E-01 a       224     0    12     1     4
 -6.8774780649926859E-01 a       225     0    12     1     5
 -1.5279285312355220E-01 a       226     0    12     1     6
  2.7894004534274092E-01 a       227     0    12     1     7
  2.7669123082702046E-01 a       228     0    12     1     8
  2.0697986169543117E-01 a       229     0    12     1     9
  1.0297581778321420E-01 a       230     0    12     1    10
  2.3287548554310733E-01 a       231     0    12     1    11
  6.9963966405230379E-02 a       232     0    12     1    12
  3.6220819366806550E-01 a       233     0    12     1    13
  3.0399692117794619E-01 a       234     0    12     1    14
  2.0564252885741727E-01 a       235     0    12     1    15
 -2.9595058787866479E-01 a       236     0    12     1    16
 -5.1435287611030665E-03 a       237     0    12     1    17
 -3.5125919066362546E-02 a       238     0    12     1    18
 -3.0922792153486783E-01 a       239     0    12     1    19
