################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  3.5837813210186908E+00 a         1     0     1     1     1
 -3.9849872585634416E+00 a         2     0     1     1     2
 -3.9030957507995949E+00 a         3     0     1     1     3
  3.8661162628229451E+00 a         4     0     1     1     4
  5.8534261530626788E+00 a         5     0     1     1     5
 -1.6521539526839097E+00 a         6     0     1     1     6
 -6.2905054866837231E+00 a         7     0     1     1     7
 -1.6090673169301098E-01 a         8     0     1     1     8
  8.4562643748966000E+00 a         9     0     1     1     9
  2.3599306794960018E-01 a        10     0     1     1    10
 -7.5315777429105646E+00 a        11     0     1     1    11
 -4.4379400842943877E+00 a        12     0     1     1    12
 -7.3326350018701181E+00 a        13     0     1     1    13
  1.0853045355778903E+00 a        14     0     1     1    14
  8.7869017763541759E+00 a        15     0     1     1    15
 -6.5539165347357589E+00 a        16     0     1     1    16
 -9.1650566452693294E+00 a        17     0     1     1    17
 -1.5191806814756511E+01 a        18     0     1     1    18
 -1.1751890058233229E+01 a        19     0     1     1    19
 -2.2792108888943590E+00 a        20     0     1     1    20
 -1.6485094238426354E+00 a        21     0     2     1     1
  7.2567516059154045E+00 a        22     0     2     1     2
  3.8085970773826929E+00 a        23     0     2     1     3
 -2.5278068409824646E+00 a        24     0     2     1     4
 -3.6899765704850980E+00 a        25     0     2     1     5
  3.9627093593416522E+00 a        26     0     2     1     6
  8.6679234193303891E+00 a        27     0     2     1     7
  2.5180815026764090E+00 a        28     0     2     1     8
 -8.3395570450447831E+00 a        29     0     2     1     9
  1.7621967183342727E-01 a        30     0     2     1    10
  5.9834501645182385E+00 a        31     0     2     1    11
  4.9769735884492476E+00 a        32     0     2     1    12
  8.3694504014052988E+00 a        33     0     2     1    13
 -5.0735459035324553E+00 a        34     0     2     1    14
 -9.9727886180178018E+00 a        35     0     2     1    15
  9.8530962081911309E+00 a        36     0     2     1    16
  1.2644345108981893E+01 a        37     0     2     1    17
  1.6862806481385462E+01 a        38     0     2     1    18
  1.6460122889649551E+01 a        39     0     2     1    19
  2.4262451093158086E+00 a        40     0     2     1    20
  1.0186787305452185E+00 a        41     0     3     1     1
 -2.6706619008798307E+00 a        42     0     3     1     2
 -1.3346645179658774E+00 a        43     0     3     1     3
  3.3100800703383300E+00 a        44     0     3     1     4
  3.5905267347826020E+00 a        45     0     3     1     5
  2.7344698942673742E+00 a        46     0     3     1     6
 -4.0752449993816846E+00 a        47     0     3     1     7
 -2.9527467764271103E-02 a        48     0     3     1     8
 -6.5002957688324189E-02 a        49     0     3     1     9
 -1.2740263075169505E+00 a        50     0     3     1    10
 -1.8268215603086309E+00 a        51     0     3     1    11
 -6.7168094560313452E-01 a        52     0     3     1    12
 -9.3593346592286286E-01 a        53     0     3     1    13
 -2.0233996664273768E+00 a        54     0     3     1    14
  1.9329166135225815E-02 a        55     0     3     1    15
 -5.3072459253215065E-01 a        56     0     3     1    16
 -2.3518669842151354E+00 a        57     0     3     1    17
 -6.4925785388641293E+00 a        58     0     3     1    18
 -2.9700313564287231E+00 a        59     0     3     1    19
 -1.5477745586760658E+00 a        60     0     3     1    20
 -1.7885591479088825E+00 a        61     0     4     1     1
  2.9460946318974175E+00 a        62     0     4     1     2
  2.0589822819151729E+00 a        63     0     4     1     3
 -3.9357668881348817E+00 a        64     0     4     1     4
 -5.4551558232857431E+00 a        65     0     4     1     5
 -2.9965305452346405E+00 a        66     0     4     1     6
  4.8830126211992599E+00 a        67     0     4     1     7
 -3.1132256814962591E-02 a        68     0     4     1     8
 -6.3019297801772756E-01 a        69     0     4     1     9
  9.7891418823599274E-01 a        70     0     4     1    10
  2.8896733602516660E+00 a        71     0     4     1    11
  1.0148307673841774E+00 a        72     0     4     1    12
  1.6334959379264056E+00 a        73     0     4     1    13
  2.1919663750558649E+00 a        74     0     4     1    14
 -5.4112617990069811E-01 a        75     0     4     1    15
  9.1683004262045009E-02 a        76     0     4     1    16
  3.0439377088046302E+00 a        77     0     4     1    17
  8.1256807941700817E+00 a        78     0     4     1    18
  3.3869184442502567E+00 a        79     0     4     1    19
  2.6745870849754660E+00 a        80     0     4     1    20
 -3.5035053667722411E+00 a        81     0     5     1     1
 -1.6820571168870275E+00 a        82     0     5     1     2
 -3.8167751242079619E+00 a        83     0     5     1     3
  9.5198603667572823E-01 a        84     0     5     1     4
  1.0632067336526134E+00 a        85     0     5     1     5
 -4.5274785932155286E+00 a        86     0     5     1     6
 -5.5061407605248407E+00 a        87     0     5     1     7
 -7.9237148343419230E+00 a        88     0     5     1     8
  4.5037461930620815E+00 a        89     0     5     1     9
  3.6369476096192344E-01 a        90     0     5     1    10
 -1.9116134206258888E+00 a        91     0     5     1    11
 -3.0056477321538981E+00 a        92     0     5     1    12
 -4.8366846669507471E+00 a        93     0     5     1    13
  4.8399334843536082E+00 a        94     0     5     1    14
  1.0793567296579636E+00 a        95     0     5     1    15
 -6.0004097479365204E-01 a        96     0     5     1    16
 -3.3871704933961011E+00 a        97     0     5     1    17
 -2.9210937839261266E+00 a        98     0     5     1    18
 -5.1690029910901298E+00 a        99     0     5     1    19
  6.0720454459586723E-02 a       100     0     5     1    20
 -1.5347147413293905E-01 a       101     0     6     1     1
  1.7316133239810338E+00 a       102     0     6     1     2
  9.2007843120955546E-01 a       103     0     6     1     3
 -8.8496091563946377E-01 a       104     0     6     1     4
 -1.6974189183371733E+00 a       105     0     6     1     5
 -6.2068952828460566E-01 a       106     0     6     1     6
  1.4076045306002321E+00 a       107     0     6     1     7
 -1.5925638488531095E+00 a       108     0     6     1     8
 -2.6101231317988705E-01 a       109     0     6     1     9
  9.5750769750041465E-01 a       110     0     6     1    10
  1.4164613289165659E-01 a       111     0     6     1    11
  4.8504011632579884E-02 a       112     0     6     1    12
  7.2944992856757970E-02 a       113     0     6     1    13
 -8.9154629390143036E-01 a       114     0     6     1    14
  4.8872444187062275E-01 a       115     0     6     1    15
  9.4626186262694012E-01 a       116     0     6     1    16
  1.3584651191360473E+00 a       117     0     6     1    17
 -8.4567223800319308E-02 a       118     0     6     1    18
  2.1061052385373178E+00 a       119     0     6     1    19
  5.2756067365254100E-01 a       120     0     6     1    20
  6.5814108286563500E-01 a       121     0     7     1     1
  4.9745098888666979E+00 a       122     0     7     1     2
  4.0782844118162193E-01 a       123     0     7     1     3
  6.6719591946462509E-01 a       124     0     7     1     4
  8.1812452328298280E-01 a       125     0     7     1     5
 -1.2069542583709039E+00 a       126     0     7     1     6
 -2.2996889522975352E+00 a       127     0     7     1     7
  2.5340283571440034E+00 a       128     0     7     1     8
  1.0197112873967846E+00 a       129     0     7     1     9
 -1.9838139728313142E-01 a       130     0     7     1    10
  1.2206068912608568E+00 a       131     0     7     1    11
  1.8907332243381239E+00 a       132     0     7     1    12
 -2.4918288900344012E+00 a       133     0     7     1    13
 -5.7485275356896001E-02 a       134     0     7     1    14
 -2.6371002111051181E+00 a       135     0     7     1    15
 -1.5583975616645884E+00 a       136     0     7     1    16
 -6.7255760997993197E-01 a       137     0     7     1    17
  4.6050334586725414E+00 a       138     0     7     1    18
 -1.6476733677803639E+00 a       139     0     7     1    19
  1.8228103710308121E+00 a       140     0     7     1    20
 -8.4106932399694168E-01 a       141     0     8     1     1
  1.2361600655031280E+00 a       142     0     8     1     2
  8.2080946848342118E-01 a       143     0     8     1     3
 -7.8070568531481838E-02 a       144     0     8     1     4
 -4.1636996626479056E-01 a       145     0     8     1     5
 -2.9232911293261438E-01 a       146     0     8     1     6
 -1.1112676264139099E+00 a       147     0     8     1     7
 -1.3477983763953469E-01 a       148     0     8     1     8
 -1.0427507550705208E+00 a       149     0     8     1     9
 -1.5023183852010253E+00 a       150     0     8     1    10
 -1.7621351430473182E+00 a       151     0     8     1    11
  3.7465086320532198E-01 a       152     0     8     1    12
  1.1557363684314131E-01 a       153     0     8     1    13
  1.0913821495568314E+00 a       154     0     8     1    14
  5.2070465639033869E-01 a       155     0     8     1    15
 -2.3787285420888105E+00 a       156     0     8     1    16
 -5.9216203024502101E-01 a       157     0     8     1    17
  4.2131656535167833E-01 a       158     0     8     1    18
 -4.5238305641473431E-01 a       159     0     8     1    19
  3.2869257239645833E-01 a       160     0     8     1    20
 -1.1061958421659348E+00 a       161     0     9     1     1
  1.1031119676434804E+00 a       162     0     9     1     2
 -5.2187098652991293E-01 a       163     0     9     1     3
  4.4301037698685576E-02 a       164     0     9     1     4
 -3.1211365174546968E-01 a       165     0     9     1     5
  8.7259897198856462E-01 a       166     0     9     1     6
  3.2006151212444511E-01 a       167     0     9     1     7
  1.1256831538742947E-01 a       168     0     9     1     8
  8.6836131792818283E-01 a       169     0     9     1     9
  3.3836233686402997E-02 a       170     0     9     1    10
 -1.2321983191742789E+00 a       171     0     9     1    11
  1.3697754466219195E-01 a       172     0     9     1    12
 -6.6130090977714440E-02 a       173     0     9     1    13
  2.7487533886253940E-01 a       174     0     9     1    14
  8.0840227255728120E-02 a       175     0     9     1    15
 -1.0180888188008090E+00 a       176     0     9     1    16
  8.7969231341361509E-01 a       177     0     9     1    17
 -3.9325314837715014E-01 a       178     0     9     1    18
 -2.1969385502106006E-01 a       179     0     9     1    19
 -5.1524868590744521E-01 a       180     0     9     1    20
  1.1491641938650775E-01 a       181     0    10     1     1
 -2.1273253696216843E-01 a       182     0    10     1     2
 -2.6506579860105575E+00 a       183     0    10     1     3
  1.8419185992039167E+00 a       184     0    10     1     4
  7.4704042138976010E-02 a       185     0    10     1     5
  1.2248375722180933E+00 a       186     0    10     1     6
 -2.5570536429472148E+00 a       187     0    10     1     7
  1.5565960378253081E+00 a       188     0    10     1     8
  1.7843500066453850E+00 a       189     0    10     1     9
 -1.1316635556222336E-02 a       190     0    10     1    10
 -3.3711222347602804E-01 a       191     0    10     1    11
  1.5998111250467781E-01 a       192     0    10     1    12
  1.0229884508958527E+00 a       193     0    10     1    13
  5.1120361846231743E-01 a       194     0    10     1    14
  5.5370595855408311E-01 a       195     0    10     1    15
  1.2536454162525629E-01 a       196     0    10     1    16
  1.1730483984287210E-01 a       197     0    10     1    17
 -1.1803111023048358E+00 a       198     0    10     1    18
 -8.9261133587914854E-01 a       199     0    10     1    19
  5.0064557362086903E-01 a       200     0    10     1    20
  2.2420154044650692E-01 a       201     0    11     1     1
 -4.1077442545807390E+00 a       202     0    11     1     2
 -2.0851997638706403E+00 a       203     0    11     1     3
  1.1089088023619611E+00 a       204     0    11     1     4
 -1.6220577887413596E+00 a       205     0    11     1     5
  2.3843613954260656E-01 a       206     0    11     1     6
 -1.8438874911427712E+00 a       207     0    11     1     7
  1.3064646315683701E+00 a       208     0    11     1     8
  3.1655357019383517E+00 a       209     0    11     1     9
 -1.2755241523129821E+00 a       210     0    11     1    10
  1.5419718612119931E-01 a       211     0    11     1    11
 -1.1970902064842537E+00 a       212     0    11     1    12
  5.2869197684510622E-02 a       213     0    11     1    13
  8.0131375935132121E-01 a       214     0    11     1    14
 -3.2239432927802114E-01 a       215     0    11     1    15
 -1.8011548853373327E+00 a       216     0    11     1    16
 -8.1091543869191507E-01 a       217     0    11     1    17
 -9.6725378122828343E-01 a       218     0    11     1    18
 -5.1245919674588225E-01 a       219     0    11     1    19
 -8.8634540792299932E-01 a       220     0    11     1    20
 -4.6622719166040244E-02 a       221     0    12     1     1
  1.7025251483928650E+00 a       222     0    12     1     2
  7.5755901057976216E-01 a       223     0    12     1     3
 -1.1557924073370960E+00 a       224     0    12     1     4
 -1.7615094691119986E+00 a       225     0    12     1     5
 -6.6585738855331145E-01 a       226     0    12     1     6
  1.2959083075078353E+00 a       227     0    12     1     7
 -1.9334572124122669E+00 a       228     0    12     1     8
 -2.2667929623241914E-01 a       229     0    12     1     9
  1.0384379156949497E+00 a       230     0    12     1    10
  2.1738791654031880E-01 a       231     0    12     1    11
 -1.7186838528899206E-01 a       232     0    12     1    12
  5.4005830166742014E-02 a       233     0    12     1    13
 -1.1329582647739183E+00 a       234     0    12     1    14
  5.1280211050087721E-01 a       235     0    12     1    15
  9.5176404907501322E-01 a       236     0    12     1    16
  1.5525119387530630E+00 a       237     0    12     1    17
 -1.9829446453562851E-02 a       238     0    12     1    18
  1.9408185336837294E+00 a       239     0    12     1    19
  6.7061672632723590E-01 a       240     0    12     1    20
  3.0783139493158157E-01 a       241     0    13     1     1
