model_config,pressure,mean_temp,std_temp,lower_bound,upper_bound
"w1:quadT_quadP, w2:quadT_quadP, w3:linear_P",150,3245.090909090909,77.70973279561719,3167.381176295292,3322.800641886526
"w1:quadT_quadP, w2:quadT_quadP, w3:linear_P",200,3347.3939393939395,73.98349405173317,3273.4104453422065,3421.3774334456725
"w1:quadT_quadP, w2:quadT_quadP, w3:linear_P",400,3705.3333333333335,106.6900112195665,3598.6433221137668,3812.0233445529
"w1:quadT_quadP, w2:quadT_quadP, w3:linear_P",600,3981.212121212121,141.58878105312652,3839.6233401589943,4122.800902265248
"w1:quadT_quadP, w2:quadT_quadP, w3:linear_P",800,4184.242424242424,171.53121244000653,4012.7112118024174,4355.77363668243
"w1:quadT_quadP, w2:quadT_quadP, w3:linear_P",1000,4321.454545454545,212.5500772842376,4108.904468170307,4534.004622738783
