################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.3508142351131376E+00 a       116     0     6     1    16
 -1.8295378891196967E+00 a       117     0     6     1    17
 -2.9325294853912185E+00 a       118     0     6     1    18
  5.8749708121096678E-01 a       119     0     6     1    19
 -4.5834025643733589E-01 a       120     0     6     1    20
  5.3319295222132503E-02 a       121     0     7     1     1
  2.7809699653288225E+00 a       122     0     7     1     2
  1.4671504214144169E+00 a       123     0     7     1     3
  4.5061296335808759E-01 a       124     0     7     1     4
  2.0388788011856587E+00 a       125     0     7     1     5
 -2.1164458263215957E-01 a       126     0     7     1     6
 -4.8772401747419289E+00 a       127     0     7     1     7
  2.8816230390900590E+00 a       128     0     7     1     8
 -1.9257953239261711E+00 a       129     0     7     1     9
 -2.5183346429195375E-01 a       130     0     7     1    10
 -5.1527292702114895E+00 a       131     0     7     1    11
  1.0365347728041129E-01 a       132     0     7     1    12
 -5.5102820825111287E+00 a       133     0     7     1    13
  3.9168953581088573E-01 a       134     0     7     1    14
  7.9554841794242814E-01 a       135     0     7     1    15
 -1.8782113723956018E+00 a       136     0     7     1    16
  4.9560174998606425E-02 a       137     0     7     1    17
  5.0925771081009339E+00 a       138     0     7     1    18
 -1.5709046960013220E+00 a       139     0     7     1    19
  9.9946969906107430E-01 a       140     0     7     1    20
 -6.8817906143655694E-01 a       141     0     8     1     1
 -8.8939551901816849E-02 a       142     0     8     1     2
 -9.1787816782031328E-01 a       143     0     8     1     3
 -2.3035055197410870E-01 a       144     0     8     1     4
  1.6452825014985020E-01 a       145     0     8     1     5
  7.7051568056241693E-01 a       146     0     8     1     6
 -1.0348610869453205E+00 a       147     0     8     1     7
  5.8305493991990875E-01 a       148     0     8     1     8
  1.8310837877134569E+00 a       149     0     8     1     9
 -2.3840162716569520E+00 a       150     0     8     1    10
 -2.2631157889783768E+00 a       151     0     8     1    11
  1.3528021524799472E+00 a       152     0     8     1    12
 -8.3766650671886000E-01 a       153     0     8     1    13
 -3.1837652790983789E-01 a       154     0     8     1    14
 -1.8677840924279578E+00 a       155     0     8     1    15
 -1.4558297827328623E-01 a       156     0     8     1    16
 -3.7376199033152302E+00 a       157     0     8     1    17
 -8.8445925860432717E-01 a       158     0     8     1    18
 -1.3115053770075771E+00 a       159     0     8     1    19
 -8.1180556938296233E-01 a       160     0     8     1    20
 -1.5736169781718204E-01 a       161     0     9     1     1
 -1.7470357652067705E+00 a       162     0     9     1     2
  5.9579444527558012E-01 a       163     0     9     1     3
 -3.5430931292797391E-01 a       164     0     9     1     4
  6.4688990519923206E-01 a       165     0     9     1     5
  9.8763997759110711E-02 a       166     0     9     1     6
 -4.2716093566184399E-01 a       167     0     9     1     7
  7.0081519603625375E-01 a       168     0     9     1     8
 -4.9052492208027049E-01 a       169     0     9     1     9
 -1.3340682608974921E+00 a       170     0     9     1    10
 -1.3039683256128667E+00 a       171     0     9     1    11
  7.0968333668362737E-01 a       172     0     9     1    12
  1.1130251384581364E+00 a       173     0     9     1    13
  1.2122478370814784E+00 a       174     0     9     1    14
 -7.5910562199198506E-01 a       175     0     9     1    15
  5.2232813737922201E-01 a       176     0     9     1    16
 -1.1539047286387620E+00 a       177     0     9     1    17
 -2.1841759025584304E-01 a       178     0     9     1    18
 -5.7145971127518513E-01 a       179     0     9     1    19
 -9.2955510871601066E-01 a       180     0     9     1    20
 -9.2046916657337485E-01 a       181     0    10     1     1
 -2.7356215121820289E+00 a       182     0    10     1     2
 -2.2595851575497194E+00 a       183     0    10     1     3
 -1.3051213684517349E+00 a       184     0    10     1     4
  3.0483114351657061E+00 a       185     0    10     1     5
 -1.5282710718480550E+00 a       186     0    10     1     6
 -4.4120047353523523E-01 a       187     0    10     1     7
  3.2669337458011496E+00 a       188     0    10     1     8
 -1.7601459360971934E+00 a       189     0    10     1     9
 -3.0830468447983583E+00 a       190     0    10     1    10
  7.8818822635726704E-01 a       191     0    10     1    11
  2.8759811667665519E-01 a       192     0    10     1    12
 -1.8962080541931955E-01 a       193     0    10     1    13
  2.2487601274432330E-02 a       194     0    10     1    14
 -3.7992289957539105E-01 a       195     0    10     1    15
  3.7608271836583046E-01 a       196     0    10     1    16
  6.9716570165775615E-01 a       197     0    10     1    17
  7.6735625313678257E-01 a       198     0    10     1    18
 -5.9776235403937339E-01 a       199     0    10     1    19
  4.7677247892403907E-01 a       200     0    10     1    20
  6.9198812786152897E-01 a       201     0    11     1     1
 -6.8456676972585626E+00 a       202     0    11     1     2
 -1.0173759398008351E+00 a       203     0    11     1     3
 -3.1587502595458514E+00 a       204     0    11     1     4
  3.5220391406263909E+00 a       205     0    11     1     5
 -1.1538288757368178E+00 a       206     0    11     1     6
  1.1489978468718476E+00 a       207     0    11     1     7
  1.1900137376063864E+00 a       208     0    11     1     8
 -1.4329930189219622E+00 a       209     0    11     1     9
  1.0579011126397043E-01 a       210     0    11     1    10
 -1.4872105407677407E+00 a       211     0    11     1    11
  2.5985383546507035E+00 a       212     0    11     1    12
  3.2707692745542003E+00 a       213     0    11     1    13
  1.1372237453672722E+00 a       214     0    11     1    14
 -3.6610679509045854E-02 a       215     0    11     1    15
  1.3951067305027871E+00 a       216     0    11     1    16
  2.3942044319602379E-01 a       217     0    11     1    17
 -1.5840067351116065E+00 a       218     0    11     1    18
 -1.2655212363805997E+00 a       219     0    11     1    19
  3.4809557732750709E+00 a       220     0    11     1    20
 -1.2321697621397344E-01 a       221     0    12     1     1
  2.5626079962828339E+00 a       222     0    12     1     2
 -9.5651384038551102E-01 a       223     0    12     1     3
 -3.1890110054005234E+00 a       224     0    12     1     4
 -1.0221867348852658E+00 a       225     0    12     1     5
  3.2794885818759840E+00 a       226     0    12     1     6
 -7.9671947914035368E-01 a       227     0    12     1     7
 -3.0152407088927067E+00 a       228     0    12     1     8
 -1.9248638361803685E+00 a       229     0    12     1     9
