################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.1095527216340764E+00 a       117     0     6     1    17
  1.9089475829294658E-01 a       118     0     6     1    18
  2.3124665711294830E+00 a       119     0     6     1    19
 -2.3801491595860838E+00 a       120     0     6     1    20
  1.2966814486588544E-02 a       121     0     7     1     1
 -1.0389946542986734E+00 a       122     0     7     1     2
  8.4271259641162133E-01 a       123     0     7     1     3
 -2.3661492849269559E+00 a       124     0     7     1     4
 -1.2703367520307716E+00 a       125     0     7     1     5
  2.2990309130354664E-01 a       126     0     7     1     6
  9.5332507491704332E-01 a       127     0     7     1     7
  1.3670654537762075E+00 a       128     0     7     1     8
  1.0731522660250064E+00 a       129     0     7     1     9
  1.2940460467215480E+00 a       130     0     7     1    10
  2.9358405310459607E-01 a       131     0     7     1    11
  1.3929775736655656E-01 a       132     0     7     1    12
 -3.2510123945433189E-01 a       133     0     7     1    13
  4.6076920427832724E-01 a       134     0     7     1    14
  1.7368039226760896E+00 a       135     0     7     1    15
 -1.0701158878626280E+00 a       136     0     7     1    16
  1.3632639384830842E+00 a       137     0     7     1    17
  1.6900724918479983E+00 a       138     0     7     1    18
  5.1423173711282788E-01 a       139     0     7     1    19
 -7.1639895846605073E-01 a       140     0     7     1    20
  1.4955761893950199E+00 a       141     0     8     1     1
 -1.2906145267546414E+00 a       142     0     8     1     2
 -1.7860844626416970E+00 a       143     0     8     1     3
 -2.4638197299101492E+00 a       144     0     8     1     4
 -8.4411234128458656E-01 a       145     0     8     1     5
  7.9335042601653327E-01 a       146     0     8     1     6
 -1.7293565921604657E+00 a       147     0     8     1     7
  6.8749538665491872E-01 a       148     0     8     1     8
  1.5234184965298505E+00 a       149     0     8     1     9
 -4.5436673875200245E-01 a       150     0     8     1    10
  9.9793069800989520E-01 a       151     0     8     1    11
  1.5014684201266904E+00 a       152     0     8     1    12
 -1.4154284775813537E+00 a       153     0     8     1    13
  3.1393323406417911E-01 a       154     0     8     1    14
  1.8118549749226467E-01 a       155     0     8     1    15
  1.1275791285471830E+00 a       156     0     8     1    16
 -3.0520047591278819E-02 a       157     0     8     1    17
  9.9126868249361524E-02 a       158     0     8     1    18
 -1.3608814632996027E-01 a       159     0     8     1    19
 -3.5427863336198950E-01 a       160     0     8     1    20
  8.9441307712555262E-01 a       161     0     9     1     1
  8.4221062988389883E-02 a       162     0     9     1     2
 -1.7933071461603708E-01 a       163     0     9     1     3
 -5.6615272161152674E-01 a       164     0     9     1     4
  9.0068553974141630E-01 a       165     0     9     1     5
 -6.7004842495247341E-01 a       166     0     9     1     6
 -3.2659804237713702E-01 a       167     0     9     1     7
 -4.7575759648383892E-01 a       168     0     9     1     8
  1.0280206527177065E+00 a       169     0     9     1     9
  6.8373549612947848E-01 a       170     0     9     1    10
 -3.5122458239414672E-01 a       171     0     9     1    11
  1.0473885794190247E+00 a       172     0     9     1    12
 -6.7640186953607762E-01 a       173     0     9     1    13
 -1.7497982028089798E-01 a       174     0     9     1    14
  2.1057827861708009E-01 a       175     0     9     1    15
 -2.3232758216378824E-01 a       176     0     9     1    16
 -8.4380893419976577E-01 a       177     0     9     1    17
 -1.1437651102218303E+00 a       178     0     9     1    18
 -5.0681394317673145E-01 a       179     0     9     1    19
 -4.7722532603919465E-01 a       180     0     9     1    20
  7.2056594122656770E-01 a       181     0    10     1     1
  7.2914710880155997E-01 a       182     0    10     1     2
  4.5741872434411074E-01 a       183     0    10     1     3
 -1.1168306425644470E+00 a       184     0    10     1     4
 -1.1598468829837055E-01 a       185     0    10     1     5
  1.9581926778327438E-01 a       186     0    10     1     6
 -1.6133710072470309E+00 a       187     0    10     1     7
  2.6426976795694235E-01 a       188     0    10     1     8
  1.5081186618427952E-01 a       189     0    10     1     9
  8.5094765440063513E-01 a       190     0    10     1    10
  3.9319623934428122E-01 a       191     0    10     1    11
  6.2738719743651805E-01 a       192     0    10     1    12
 -2.0273852177033533E+00 a       193     0    10     1    13
  2.0136829721287366E-01 a       194     0    10     1    14
  5.4635738630919573E-01 a       195     0    10     1    15
 -3.6922538047681597E-01 a       196     0    10     1    16
 -1.6303795356671060E+00 a       197     0    10     1    17
 -9.3109376263701998E-02 a       198     0    10     1    18
 -9.2632003275830921E-01 a       199     0    10     1    19
 -3.1747033875934771E-01 a       200     0    10     1    20
