################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  9.7483226333471928E-01 a       117     0     6     1    17
 -1.7187414307931252E+00 a       118     0     6     1    18
 -3.7902631524137135E-03 a       119     0     6     1    19
 -2.7758756398308648E-01 a       120     0     6     1    20
 -1.1552314156900845E+00 a       121     0     7     1     1
  5.8327863344266595E-02 a       122     0     7     1     2
  4.9571934693118341E-01 a       123     0     7     1     3
  6.5775322624845214E-02 a       124     0     7     1     4
 -1.1497241083219762E+00 a       125     0     7     1     5
  1.1598820723500614E+00 a       126     0     7     1     6
  4.2444500256853285E-02 a       127     0     7     1     7
 -1.1428423334030537E+00 a       128     0     7     1     8
  1.8900457800136652E-01 a       129     0     7     1     9
  1.8365835436021816E-01 a       130     0     7     1    10
  1.0995101287569364E-01 a       131     0     7     1    11
 -1.1663569957957851E+00 a       132     0     7     1    12
 -2.8651502437012453E-02 a       133     0     7     1    13
 -9.8096402143616437E-02 a       134     0     7     1    14
 -1.0680611716301788E-01 a       135     0     7     1    15
  1.4425718222471129E+00 a       136     0     7     1    16
  1.4293316265575229E-01 a       137     0     7     1    17
  4.9811934799469598E-01 a       138     0     7     1    18
  5.8757126372439583E-01 a       139     0     7     1    19
  8.7653575466601685E-01 a       140     0     7     1    20
  2.9510083262491676E-01 a       141     0     8     1     1
  2.3925419385054536E-01 a       142     0     8     1     2
  7.9703669061539056E-02 a       143     0     8     1     3
  1.1857688144480947E+00 a       144     0     8     1     4
 -1.9317611701196973E+00 a       145     0     8     1     5
  8.1840385868865240E-01 a       146     0     8     1     6
 -1.6561078781547618E-02 a       147     0     8     1     7
 -1.5161916583810402E+00 a       148     0     8     1     8
  8.7521391129062334E-02 a       149     0     8     1     9
  8.3922555054932657E-01 a       150     0     8     1    10
  1.9295682194388144E+00 a       151     0     8     1    11
  1.0252384310008116E+00 a       152     0     8     1    12
  7.3844047879514962E-01 a       153     0     8     1    13
  1.7004484858433295E+00 a       154     0     8     1    14
  1.1042139893887486E+00 a       155     0     8     1    15
  5.8845575399000793E-01 a       156     0     8     1    16
  1.6355857756421286E+00 a       157     0     8     1    17
  2.3904886854330627E+00 a       158     0     8     1    18
  1.3645849412475222E+00 a       159     0     8     1    19
 -1.0629205139653142E+00 a       160     0     8     1    20
  3.6930278732799793E-01 a       161     0     9     1     1
 -1.6519835073842271E-01 a       162     0     9     1     2
  1.6403841219832552E-01 a       163     0     9     1     3
  4.4649985385330443E-01 a       164     0     9     1     4
  1.5917334470069974E-01 a       165     0     9     1     5
 -5.5712065654913878E-01 a       166     0     9     1     6
 -2.1945099627397435E-01 a       167     0     9     1     7
  8.1070179259549036E-01 a       168     0     9     1     8
 -5.6036485582241524E-01 a       169     0     9     1     9
  7.3557597906539196E-01 a       170     0     9     1    10
  5.3482105705974725E-02 a       171     0     9     1    11
 -2.0241449644891998E-01 a       172     0     9     1    12
  2.0406046120949994E-01 a       173     0     9     1    13
 -1.4375474643861788E-01 a       174     0     9     1    14
 -3.2773699334827733E-01 a       175     0     9     1    15
  2.1019623348657851E-01 a       176     0     9     1    16
  4.7071954268365146E-01 a       177     0     9     1    17
  3.2366164842349204E-01 a       178     0     9     1    18
  6.6883830814337597E-01 a       179     0     9     1    19
  2.7026652201745638E-01 a       180     0     9     1    20
  5.8985857996245306E-01 a       181     0    10     1     1
 -1.4467668533732131E-02 a       182     0    10     1     2
  4.3046757224103999E-01 a       183     0    10     1     3
 -1.2309198845945975E-01 a       184     0    10     1     4
  2.3286720290901808E-01 a       185     0    10     1     5
  9.1369673217602898E-01 a       186     0    10     1     6
  5.8975616384851348E-01 a       187     0    10     1     7
 -4.8532410200068647E-04 a       188     0    10     1     8
 -2.3087498760844435E-01 a       189     0    10     1     9
  1.6884775462946738E-01 a       190     0    10     1    10
  9.2068836303502277E-01 a       191     0    10     1    11
 -1.7058316182426825E-01 a       192     0    10     1    12
  3.1733246690685800E-02 a       193     0    10     1    13
  5.5454817231139375E-01 a       194     0    10     1    14
  3.2846548885736121E-01 a       195     0    10     1    15
  3.1149633061718118E-01 a       196     0    10     1    16
  1.0880944577552736E+00 a       197     0    10     1    17
  3.9454687547834116E-01 a       198     0    10     1    18
  8.5323093560751695E-01 a       199     0    10     1    19
  2.8987159109802751E-01 a       200     0    10     1    20
 -1.1925892673679179E+00 a       201     0    11     1     1
  9.6676612175730259E-02 a       202     0    11     1     2
  6.2254139784237361E-01 a       203     0    11     1     3
  2.1945849692859973E-01 a       204     0    11     1     4
 -1.0620774087317824E+00 a       205     0    11     1     5
  1.1368681293891141E+00 a       206     0    11     1     6
  3.8351140769472469E-01 a       207     0    11     1     7
 -1.1915285263172224E+00 a       208     0    11     1     8
  2.1433371547929572E-01 a       209     0    11     1     9
 -2.5720270933670314E-01 a       210     0    11     1    10
