################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.9691907831252884E+00 a         1     0     1     1     1
  1.9361526693310694E-02 a         2     0     1     1     2
 -5.7443794183087904E-01 a         3     0     1     1     3
  2.6238037322591103E+00 a         4     0     1     1     4
 -1.0726887482967046E+01 a         5     0     1     1     5
 -3.6049044379278672E+00 a         6     0     1     1     6
 -5.7318503787080095E+00 a         7     0     1     1     7
 -7.9915923137317746E-01 a         8     0     1     1     8
  4.3097028689305859E+00 a         9     0     1     1     9
  3.5499353644532512E+00 a        10     0     1     1    10
 -3.5382831589164807E+00 a        11     0     1     1    11
 -9.4445182710136477E-01 a        12     0     1     1    12
  5.4816043435547854E+00 a        13     0     1     1    13
 -3.7610112426333639E+00 a        14     0     1     1    14
 -9.9754677378019458E+00 a        15     0     1     1    15
 -1.0328220052359585E+00 a        16     0     1     1    16
 -1.0972987292000125E+01 a        17     0     1     1    17
  4.9180267424572524E+00 a        18     0     1     1    18
 -5.8223390482514157E+00 a        19     0     1     1    19
  1.3589935837563994E+01 a        20     0     1     1    20
 -3.9093147208134056E+00 a        21     0     2     1     1
 -2.9237026908036117E+00 a        22     0     2     1     2
 -1.1833498688921143E-01 a        23     0     2     1     3
 -3.3337594316750527E+00 a        24     0     2     1     4
  1.0504267797387651E+01 a        25     0     2     1     5
  3.1986686026063973E+00 a        26     0     2     1     6
  6.7117629324231149E+00 a        27     0     2     1     7
  1.5794795493324216E+00 a        28     0     2     1     8
 -5.3619153710294007E+00 a        29     0     2     1     9
 -3.0679919784640011E+00 a        30     0     2     1    10
  7.4150758986805512E+00 a        31     0     2     1    11
  4.8374687660029725E+00 a        32     0     2     1    12
 -6.5553978955893291E+00 a        33     0     2     1    13
  8.8716314609989908E+00 a        34     0     2     1    14
  1.4755752786338563E+01 a        35     0     2     1    15
  1.1580816527194380E+00 a        36     0     2     1    16
  1.2790033515415924E+01 a        37     0     2     1    17
 -5.3429161978501130E+00 a        38     0     2     1    18
  7.3859338004888775E+00 a        39     0     2     1    19
 -1.4413610877108878E+01 a        40     0     2     1    20
 -2.9134654696604034E+00 a        41     0     3     1     1
  4.5207471459146115E-01 a        42     0     3     1     2
 -3.3834437405208745E-01 a        43     0     3     1     3
 -5.1105605499414819E-01 a        44     0     3     1     4
 -4.2487518768807653E-01 a        45     0     3     1     5
 -8.6295923945272779E-01 a        46     0     3     1     6
  3.5707576303552186E+00 a        47     0     3     1     7
 -1.2785094184706364E-01 a        48     0     3     1     8
  2.1701316673208875E+00 a        49     0     3     1     9
 -4.4632337962174455E+00 a        50     0     3     1    10
 -1.0958906792061776E+00 a        51     0     3     1    11
  1.1965859018584835E+00 a        52     0     3     1    12
  1.7028901761946442E+00 a        53     0     3     1    13
 -8.3190340102506155E-01 a        54     0     3     1    14
  4.8344910240910471E-01 a        55     0     3     1    15
 -3.9515929706522657E-01 a        56     0     3     1    16
 -9.8478865958693407E-01 a        57     0     3     1    17
 -1.8920758014561104E-01 a        58     0     3     1    18
 -6.2039335997745582E+00 a        59     0     3     1    19
  4.4729924568490276E+00 a        60     0     3     1    20
  2.3619922148284860E+00 a        61     0     4     1     1
  1.1398311242979937E+00 a        62     0     4     1     2
  2.2688122818038612E+00 a        63     0     4     1     3
  5.2658626144857190E-01 a        64     0     4     1     4
