Pressure,Temperature,x_He
421.84561430553407,1609.2184368737476,0.05
422.5450901803607,1609.2184368737476,0.05
422.5450901803607,1611.684385720594,0.05
424.2484969939879,1611.684385720594,0.05
424.24849699398794,1617.5192673041058,0.05
425.95190380761517,1617.5192673041058,0.05
425.9519038076153,1622.6723109139634,0.05
426.39317095729916,1625.250501002004,0.05
427.65531062124245,1625.250501002004,0.05
427.65531062124245,1629.7000781223464,0.05
429.3587174348697,1629.7000781223464,0.05
429.3587174348698,1635.7053089229307,0.05
430.94072760906425,1641.2825651302605,0.05
431.06212424849696,1641.710539723515,0.05
431.06212424849696,1641.710539723515,0.05
432.76553106212424,1647.7157705240993,0.05
432.76553106212424,1647.7157705240993,0.05
434.4689378757514,1647.7157705240993,0.05
434.46893787575146,1653.7210013246834,0.05
435.4882842608293,1657.314629258517,0.05
436.17234468937875,1659.7262321252679,0.05
436.17234468937875,1659.7262321252679,0.05
437.8757515030059,1659.7262321252679,0.05
437.875751503006,1665.731462925852,0.05
439.5791583166332,1671.7366937264358,0.05
439.57915831663325,1671.7366937264358,0.05
440.0358409125943,1673.3466933867735,0.05
441.28256513026054,1677.7419245270205,0.05
441.28256513026054,1677.7419245270205,0.05
442.9859719438877,1677.7419245270205,0.05
442.98597194388776,1683.7471553276046,0.05
444.5833975643594,1689.37875751503,0.05
444.68937875751504,1689.7523861281888,0.05
444.68937875751504,1689.7523861281888,0.05
446.3927855711422,1689.7523861281888,0.05
446.39278557114227,1695.757616928773,0.05
448.0961923847695,1701.7628477293574,0.05
448.09619238476955,1701.7628477293574,0.05
449.13095421612445,1705.4108216432865,0.05
449.7995991983968,1705.4108216432865,0.05
449.7995991983968,1707.7680785299415,0.05
451.503006012024,1707.7680785299415,0.05
451.50300601202406,1713.7733093305258,0.05
453.2064128256513,1713.7733093305258,0.05
453.2064128256513,1719.7785401311098,0.05
453.6785108678895,1721.442885771543,0.05
454.9098196392785,1721.442885771543,0.05
454.90981963927857,1725.783770931694,0.05
456.6132264529058,1731.7890017322786,0.05
456.6132264529058,1731.7890017322786,0.05
458.2260675196546,1737.4749498997994,0.05
458.3166332665331,1737.4749498997994,0.05
458.3166332665331,1737.7942325328627,0.05
