Pressure,Temperature,x_He
340.19467506441447,1813.627254509018,0.05
340.3950758660177,1827.6553106212425,0.05
340.59547666762097,1841.6833667334672,0.05
340.7958774692242,1855.7114228456915,0.05
340.9962782708273,1869.7394789579157,0.05
341.1966790724305,1883.7675350701402,0.05
341.3970798740337,1897.7955911823647,0.05
341.597480675637,1911.8236472945891,0.05
341.68336673346687,1911.8236472945891,0.05
341.6833667334669,1917.8356713426854,0.05
341.7978814772402,1925.8517034068136,0.05
341.99828227884336,1939.879759519038,0.05
342.1986830804466,1953.9078156312626,0.05
342.3990838820498,1967.935871743487,0.05
342.59948468365303,1981.9639278557115,0.05
342.79988548525625,1995.991983967936,0.05
343.48697394789576,2006.513026052104,0.05
343.48697394789576,2006.513026052104,0.05
343.7160034354423,2010.0200400801605,0.05
344.9184082450615,2024.0480961923847,0.05
345.29058116232466,2024.0480961923847,0.05
345.29058116232466,2028.3901135604544,0.05
346.12081305468075,2038.0761523046094,0.05
347.09418837675355,2038.0761523046094,0.05
347.09418837675355,2049.4321977287923,0.05
347.3232178642999,2052.104208416834,0.05
348.52562267391926,2066.1322645290584,0.05
348.89779559118233,2070.4742818971276,0.05
348.89779559118233,2070.4742818971276,0.05
349.7280274835385,2080.160320641283,0.05
350.7014028056112,2091.5163660654653,0.05
350.7014028056112,2091.5163660654653,0.05
350.93043229315765,2094.1883767535073,0.05
352.132837102777,2108.216432865732,0.05
352.5050100200401,2108.216432865732,0.05
352.5050100200401,2112.5584502338015,0.05
353.33524191239627,2122.2444889779563,0.05
354.30861723446895,2133.600534402138,0.05
354.30861723446895,2133.600534402138,0.05
354.53764672201544,2136.2725450901808,0.05
355.7400515316346,2150.300601202405,0.05
356.1122244488978,2154.642618570475,0.05
356.1122244488978,2154.642618570475,0.05
356.94245634125394,2164.3286573146293,0.05
357.9158316633267,2175.6847027388117,0.05
357.91583166332674,2175.6847027388117,0.05
358.14486115087317,2178.3567134268537,0.05
359.34726596049234,2192.384769539078,0.05
359.7194388777555,2196.7267869071484,0.05
359.7194388777555,2196.7267869071484,0.05
360.5496707701116,2206.4128256513027,0.05
361.52304609218436,2206.4128256513027,0.05
361.52304609218436,2217.768871075485,0.05
361.75207557973084,2220.440881763527,0.05
362.95448038935007,2234.4689378757516,0.05
363.32665330661325,2234.4689378757516,0.05
363.32665330661325,2238.810955243822,0.05
364.1568851989694,2248.496993987976,0.05
365.1302605210421,2248.496993987976,0.05
365.13026052104215,2259.8530394121576,0.05
365.3592900085886,2262.5250501002,0.05
366.56169481820774,2276.5531062124246,0.05
366.9338677354709,2276.5531062124246,0.05
366.9338677354709,2280.895123580495,0.05
367.7640996278271,2290.581162324649,0.05
368.7374749498998,2290.581162324649,0.05
368.7374749498998,2301.9372077488324,0.05
368.96650443744625,2304.6092184368736,0.05
370.1689092470655,2318.637274549098,0.05
370.54108216432866,2322.9792919171678,0.05
370.54108216432866,2322.9792919171678,0.05
371.37131405668475,2332.6653306613225,0.05
372.3446893787575,2332.6653306613225,0.05
372.3446893787575,2344.021376085505,0.05
372.5737188663039,2346.693386773547,0.05
373.7761236759232,2360.7214428857715,0.05
374.1482965931864,2360.7214428857715,0.05
374.1482965931864,2365.063460253842,0.05
374.9785284855425,2374.749498997996,0.05
375.9519038076152,2386.1055444221774,0.05
375.9519038076152,2386.1055444221774,0.05
376.18093329516176,2388.7775551102204,0.05
377.38333810478093,2402.805611222445,0.05
377.7555110220441,2407.147628590515,0.05
377.7555110220441,2407.147628590515,0.05
378.5857429144002,2416.8336673346694,0.05
379.55911823647295,2428.1897127588527,0.05
379.55911823647295,2428.1897127588527,0.05
379.7881477240194,2430.861723446894,0.05
380.99055253363866,2444.8897795591183,0.05
381.3627254509018,2449.231796927188,0.05
381.3627254509018,2449.231796927188,0.05
382.19295734325794,2458.917835671343,0.05
383.1663326653307,2458.917835671343,0.05
383.16633266533074,2470.273881095525,0.05
383.3953621528771,2472.9458917835673,0.05
384.5977669624964,2486.9739478957918,0.05
384.9699398797595,2491.3159652638615,0.05
384.9699398797595,2491.3159652638615,0.05
385.8001717721157,2501.0020040080162,0.05
386.77354709418836,2501.0020040080162,0.05
386.77354709418836,2512.3580494321986,0.05
387.0025765817348,2515.0300601202407,0.05
388.2049813913542,2529.058116232465,0.05
388.57715430861725,2533.400133600534,0.05
388.57715430861725,2533.400133600534,0.05
389.40738620097346,2543.0861723446897,0.05
390.3807615230461,2554.442217768871,0.05
390.3807615230461,2554.442217768871,0.05
390.60979101059263,2557.114228456914,0.05
391.81219582021185,2571.1422845691386,0.05
392.1843687374749,2575.4843019372074,0.05
392.1843687374749,2575.4843019372074,0.05
393.0146006298311,2585.1703406813635,0.05
393.9879759519038,2585.1703406813635,0.05
393.9879759519038,2596.5263861055446,0.05
394.21700543945036,2599.1983967935876,0.05
395.41941024906953,2613.226452905812,0.05
395.79158316633266,2617.5684702738818,0.05
395.7915831663327,2617.5684702738818,0.05
396.62181505868875,2627.254509018036,0.05
397.59519038076155,2638.6105544422194,0.05
397.5951903807616,2638.6105544422194,0.05
397.824219868308,2641.2825651302605,0.05
399.0266246779272,2655.310621242485,0.05
399.3987975951904,2659.6526386105556,0.05
399.3987975951904,2659.6526386105556,0.05
401.2024048096192,2666.6666666666674,0.05
401.2024048096192,2666.6666666666674,0.05
403.0060120240481,2666.6666666666674,0.05
403.0060120240481,2666.6666666666674,0.05
404.80961923847696,2666.6666666666674,0.05
404.809619238477,2666.6666666666674,0.05
406.6132264529058,2666.6666666666674,0.05
406.61322645290585,2666.6666666666674,0.05
408.4168336673347,2666.6666666666674,0.05
408.4168336673347,2666.6666666666674,0.05
410.2204408817635,2666.6666666666674,0.05
410.2204408817635,2666.6666666666674,0.05
412.0240480961924,2666.6666666666674,0.05
